date,close,pair_value,total_value,hold_value_compare,hold_strategy_value,amount0,amount1,cumulative_feeV,IL_change,impermanent_loss
2023-08-01,1872.3916421555848,10091.98581811228,10084.748339570304,10088.108237401202,10091.821479759577,0.0,5.3898904432696115,7.302521458023929,3.877580711077826,3.877580711077826
2023-08-02,1838.8154046711336,10091.98581811228,10084.748339570304,,10091.821479759577,,,,,
2023-08-03,1835.2257887976168,10091.98581811228,10084.748339570304,,10091.821479759577,,,,,
2023-08-04,1827.327419951728,10091.98581811228,10084.748339570304,,10091.821479759577,,,,,
2023-08-05,1835.424738005704,10091.98581811228,10084.748339570304,,10091.821479759577,,,,,
2023-08-06,1828.127808441364,10060.796319697754,10063.984259777613,10064.81298721994,10051.597371930839,2982.7221569100557,3.871761115445404,17.72794007986041,-4.016667522186253,-4.016667522186253
2023-08-07,1826.0277977240812,10060.796319697754,10063.984259777613,,10051.597371930839,,,,,
2023-08-08,1855.7030481993415,10186.633844342794,10219.276641538092,10227.519542701719,10214.931373418458,6762.908147927318,1.8449749811736555,47.18279719529845,-40.885698358924856,-40.885698358924856
2023-08-09,1854.2677199645173,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-10,1850.366443820987,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-11,1847.15358748468,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-12,1848.3160252567905,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-13,1839.2931608227527,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-14,1843.3940192812167,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-15,1826.9112512851543,10182.674646656988,10195.634102103928,10202.95470103487,10123.595869538196,3235.3422879769882,3.8027749589876607,27.499455446940882,-20.28005437788306,-20.28005437788306
2023-08-16,1805.7228529285248,10157.257048550757,10178.982618366455,10190.563994327393,10006.276318507771,4949.935810267861,2.8837876365343953,36.26556981569902,-33.306945776635985,-33.306945776635985
2023-08-17,1682.6545058833156,10160.34253356832,10269.9231543252,10178.982618366455,9324.290994749028,8444.679758233662,1.0196167836807442,124.12062075688053,-18.64008479813492,-18.64008479813492
