,Price_up,Price_low,ETH_Price_upper,ETH_Price_low
2023-08-01,201070.0,200870.0,0.0005394144282509000,0.0005287338356323800
2023-08-06,201270.66563546200,201070.66563546200,0.0005503474022811130,0.0005394503329878700
2023-08-08,201186.7641540260,200986.7641540260,0.0005457494516538980,0.0005349434233765380
2023-08-15,201291.0,201091.0,0.000551467581263574,0.0005405483320382700
2023-08-16,201408.0,201208.0,0.0005579573184174510,0.0005469095701474200
2023-08-17,202114.0,201914.0,0.0005987708312788150,0.0005869149613098220
2023-08-18,202245.0,202045.0,0.0006066659344451400,0.0005946537386973320
2023-08-20,202157.75476312000,201957.75476312000,0.000601396347346899,0.0005894884912498610
2023-08-21,202193.69034302100,201993.69034302100,0.0006035612793259830,0.0005916105568254810
2023-08-22,202402.41380590800,202202.41380590800,0.0006162907679256240,0.0006040879971393250
2023-08-23,202198.33213070400,201998.33213070400,0.00060384149067598,0.0005918852198936380
2023-08-24,202241.5621125790,202041.5621125790,0.0006064574157976820,0.0005944493487913570
2023-08-25,202283.26231888900,202083.26231888900,0.0006089915089692480,0.0005969332660399120
2023-08-26,202325.630783516,202125.630783516,0.0006115770566313240,0.0005994676189622330
2023-08-29,201892.0,201692.0,0.000585625232102619,0.000574029649553046
2023-08-30,201975.95338795500,201775.95338795500,0.0005905622022617970,0.0005788688659921190
2023-08-31,202335.65913024100,202135.65913024100,0.0006121906442417830,0.0006000690573253610
2023-09-01,202437.60273514800,202237.60273514800,0.0006184631404628440,0.0006062173559474520
2023-09-07,202392.8466175520,202192.8466175520,0.000615701462349377,0.000603510360017717
2023-09-10,202504.94709726400,202304.94709726400,0.0006226419873890020,0.0006103134602562530
2023-09-11,202929.0,202729.0,0.0006496117421613620,0.0006367492045374980
2023-09-12,202721.29025686500,202521.29025686500,0.000636258500975683,0.0006236603621549870
2023-09-13,202630.94702770500,202430.94702770500,0.0006305365083956010,0.0006180516670110000
2023-09-14,202511.27184667600,202311.27184667600,0.0006230358977042430,0.0006106995710107400
2023-09-15,202417.07615270200,202217.07615270200,0.0006171950123659720,0.0006049743372263800
2023-09-17,202467.30489468500,202267.30489468500,0.0006203027482343880,0.0006080205388475850
2023-09-19,202408.6150262810,202208.6150262810,0.0006166730428150960,0.0006044627028535050
2023-09-20,202464.94191035800,202264.94191035800,0.0006201561963103140,0.0006078768887023970
2023-09-21,202718.0,202518.0,0.0006360492004849360,0.0006234552058864910
2023-09-28,202342.0,202142.0,0.0006125789300325820,0.0006004496549229380
2023-09-29,202253.0,202053.0,0.0006071514370931360,0.0005951296282246410
2023-10-01,201872.0,201672.0,0.0005844552105500570,0.0005728827948327060
2023-10-02,202223.54568734100,202023.54568734100,0.0006053658345215340,0.000593379381202775
2023-10-03,202259.0596171100,202059.0596171100,0.0006075194407037320,0.0005954903452362130
2023-10-04,202321.68122814600,202121.68122814600,0.0006113355706518790,0.0005992309144888710
2023-10-05,202532.515933878,202332.515933878,0.0006243608211945180,0.0006119982605567420
2023-10-06,202397.58332931700,202197.58332931700,0.0006159931568791440,0.0006037962788947050
2023-10-09,202745.804502853,202545.804502853,0.0006378200758983020,0.0006251910173529590
2023-10-10,202826.0,202626.0,0.0006429554129678120,0.0006302246729687930
2023-10-12,203007.0,202807.0,0.0006546982711035000,0.000641735018443797
2023-10-14,202955.11244396000,202755.11244396000,0.0006513101688012360,0.0006384140017412970
2023-10-16,202668.12787489100,202468.12787489100,0.0006328851426272620,0.0006203537974709330
2023-10-17,202829.22926658500,202629.22926658500,0.0006431630635546570,0.0006304282120020560
2023-10-20,202641.68364287200,202441.68364287200,0.0006312138208516090,0.0006187155684456500
2023-10-21,202488.0,202288.0,0.0006215877362457510,0.0006092800836509990
2023-10-22,202279.0,202079.0,0.0006087320056512500,0.0005966789009775440
2023-10-23,201682.0,201482.0,0.0005734559354935550,0.0005621013092342250
2023-10-24,201576.0,201376.0,0.000567409706507283,0.0005561747976772590
2023-10-26,201476.6760943790,201276.6760943790,0.0005618021464029090,0.0005506782692063050
2023-10-27,201541.74597815600,201341.74597815600,0.0005654695219200290,0.000554273029417222
2023-10-30,201448.00614863400,201248.00614863400,0.0005601938497013030,0.0005491018173367610
2023-10-31,201411.18754062500,201211.18754062500,0.0005581351890330210,0.0005470839188631590
2023-11-01,201243.40788251100,201043.40788251100,0.0005488493963684860,0.0005379819881114610
2023-11-02,201431.16812991100,201231.16812991100,0.0005592514350107340,0.0005481780627836690
2023-11-03,201314.67190068500,201114.67190068500,0.0005527744907419590,0.0005418293642560610
2023-11-04,201180.0557400830,200980.0557400830,0.0005453834813967380,0.0005345846994572990
2023-11-05,200979.0,200779.0,0.0005345282670083130,0.0005239444220757420
2023-11-06,200946.0,200746.0,0.0005327673189354230,0.0005222183413849680
2023-11-09,199845.0,199645.0,0.00047722605269106000,0.00046777681146059200
2023-11-10,199996.7828029830,199796.7828029830,0.00048452440669544200,0.00047493065552637400
2023-11-11,200120.2040854170,199920.2040854170,0.0004905412220037170,0.0004808283358063620
2023-11-13,200165.79783785300,199965.79783785300,0.0004927827775950100,0.0004830255078201140
